trial_id,tweet,category,model_output,model_confidence
T0190,"""#HagiaSophia don't smile idiot Muslims.. Christian's economic embargo is here.. It's time to stay alone and die alone with your ""God"" president.. As we say in Greece ""you smile better when you smile last...""""",,religion,0.99659866
T0191,"""We all know Omar is an America hating, Christian hating, radical leftist. What does that make those who support her?""",,religion,0.99450004
T0192,"""@AMohedin Two verses and we can agree that Islam tells women to stay home, cover up, obey your husband, right?""",,religion,0.9581526
T0193,"""So attacking children because they are born white is justified because of what some other white person did? You sound like these idiots who attack all Muslims based on the actions of extremists. So ironic, you have more in common with supremacist then you think""",,religion,0.99702877
T0194,"""It’s taken two days 4 u to write this statement? Don’t you stupid people realise that Muslims living here are vilified even 4 the smallest of issues? When Non Muslims see that clip, they think we all have the same mindset. I’m tired of this shit. Idiots ruining for the rest of us""",,religion,0.99698764
T0195,"""If one speaks bad about the muslim you will pay! Idiots! Twitter Verification Purge Targets Mediaite Journalist Who Reported on Obama Spying https://www.breitbart.com/tech/2020/05/25/twitter-verification-purge-targets-mediaite-journalist-who-reported-on-obama-spying/ via @BreitbartNews""",,religion,0.99205875
T0196,"""Hello Robert quick question where were you when Kinnocks son was being an ass . Ditto the labour idiot who went to a funeral with 100 other (muslim) mourners.""",,religion,0.9964143
T0197,"""#Kashmiriyat Jihad is a blot on humanity. Libtards giving cover fire for monetary benefits are worst than terrorists. https://twitter.com/ksunjai/status/884978858000355331""",,religion,0.98653877
T0198,"""@98Halima @rfrankh53 @BilalIGhumman @johnnygjokaj The little girls draw the highest price because of your pedophile prophet.""",,religion,0.93945175
T0199,"""Here comes a person in defence of Islamic terrorism Hide Otherwise secular shivsainik will see u And make your butt red""",,religion,0.9943613
T0200,"""@dankmtl @PeaceNotHate_ Mohammed stated clearly in the Hadith that he wanted Muslims to breed like rats so he could take over the world.""",,religion,0.9813557
T0201,"""When an idiot stomps around my country destroying it in the name of Marxism, I couldn't care less what she is whining about, she's disrespecting my rights. She needs to respect the law. I've been to enough Muslim countries to know what I state. Me no make up story, you make up.""",,religion,0.9968444
